spacy_word	spacy_lemma	spacy_pos	spacy_tag	dependency	dependency_head	dependency_head_pos	dependency_children	text_id_numeric	text_id	sent_index_in_text	manually_corrected
Wird	werden	AUX	VAFIN	mo	nimmt	VERB	[Hochfrequenz, nun, gewählt]	6	p0	5	False
die	der	DET	ART	nk	Hochfrequenz	NOUN	[]	6	p0	5	False
Hochfrequenz	Hochfrequenz	NOUN	NN	sb	Wird	AUX	[die]	6	p0	5	False
nun	nun	ADV	ADV	mo	gewählt	VERB	[ankommen]	6	p0	5	True
genau	genau	ADV	ADJD	mo	so	ADV	[]	6	p0	5	False
so	so	ADV	ADV	mo	gewählt	VERB	[genau, ankommen]	6	p0	5	True
gewählt	wählen	VERB	VVPP	oc	Wird	AUX	[nun, so, ,]	6	p0	5	False
,	--	PUNCT	$,	punct	gewählt	VERB	[]	6	p0	5	True
dass	dass	SCONJ	KOUS	cp	ankommen	VERB	[]	6	p0	5	False
die	der	DET	ART	nk	Ionen	NOUN	[anliegt]	6	p0	5	False
Ionen	Ione	NOUN	NN	sb	ankommen	VERB	[die]	6	p0	5	False
nach	nach	ADP	APPR	mo	ankommen	VERB	[Durchlaufen]	6	p0	5	False
Durchlaufen	durchlaufen	NOUN	NN	nk	nach	ADP	[Halbkreises]	6	p0	5	False
des	der	DET	ART	nk	Halbkreises	NOUN	[]	6	p0	5	False
Halbkreises	Halbkreis	NOUN	NN	ag	Durchlaufen	NOUN	[des]	6	p0	5	False
immer	immer	ADV	ADV	mo	zu	ADP	[]	6	p0	5	False
zu	zu	ADP	APPR	mo	ankommen	VERB	[immer, Zeitpunkt]	6	p0	5	False
einem	ein	DET	ART	nk	Zeitpunkt	NOUN	[]	6	p0	5	False
Zeitpunkt	Zeitpunkt	NOUN	NN	nk	zu	ADP	[einem]	6	p0	5	False
wieder	wieder	ADV	ADV	mo	ankommen	VERB	[]	6	p0	5	False
am	an	ADP	APPRART	mo	ankommen	VERB	[Spalt]	6	p0	5	False
Spalt	Spalt	NOUN	NN	nk	am	ADP	[]	6	p0	5	False
ankommen	ankommen	VERB	VVFIN	re	so	ADV	[dass, Ionen, nach, zu, wieder, am, ,]	6	p0	5	True
,	--	PUNCT	$,	punct	ankommen	VERB	[]	6	p0	5	False
bei	bei	ADP	APPR	mo	anliegt	VERB	[dem]	6	p0	5	False
dem	der	PRON	PRELS	nk	bei	ADP	[]	6	p0	5	False
die	der	DET	ART	nk	Polarität	NOUN	[]	6	p0	5	False
richtige	richtig	ADJ	ADJA	nk	Polarität	NOUN	[]	6	p0	5	False
Polarität	Polarität	NOUN	NN	sb	anliegt	VERB	[die, richtige, Beschleunigungsspannung]	6	p0	5	False
der	der	DET	ART	nk	Beschleunigungsspannung	NOUN	[]	6	p0	5	False
Beschleunigungsspannung	Beschleunigungsspannung	NOUN	NN	ag	Polarität	NOUN	[der]	6	p0	5	False
anliegt	anliegen	VERB	VVFIN	rc	die	DET	[bei, Polarität]	6	p0	5	False
,	--	PUNCT	$,	punct	nimmt	VERB	[]	6	p0	5	False
nimmt	nehmen	VERB	VVFIN	ROOT	nimmt	VERB	[Wird, ,, Energie, zu, ,, wächst, .]	6	p0	5	False
ihre	ihr	DET	PPOSAT	nk	Energie	NOUN	[]	6	p0	5	False
kinetische	kinetisch	ADJ	ADJA	nk	Energie	NOUN	[]	6	p0	5	False
Energie	Energie	NOUN	NN	oa	nimmt	VERB	[ihre, kinetische, bei]	6	p0	5	False
bei	bei	ADP	APPR	mnr	Energie	NOUN	[Durchlaufen]	6	p0	5	False
Durchlaufen	durchlaufe	NOUN	NN	nk	bei	ADP	[Spaltes]	6	p0	5	False
des	der	DET	ART	nk	Spaltes	NOUN	[]	6	p0	5	False
Spaltes	Spalt	NOUN	NN	ag	Durchlaufen	NOUN	[des]	6	p0	5	False
zu	zu	ADP	PTKVZ	svp	nimmt	VERB	[]	6	p0	5	False
,	--	PUNCT	$,	punct	nimmt	VERB	[]	6	p0	5	False
ihre	ihr	DET	PPOSAT	nk	Geschwindigkeit	NOUN	[]	6	p0	5	False
Geschwindigkeit	Geschwindigkeit	NOUN	NN	sb	wächst	VERB	[ihre]	6	p0	5	False
wächst	wachsen	VERB	VVFIN	cj	nimmt	VERB	[Geschwindigkeit, und]	6	p0	5	False
und	und	CCONJ	KON	cd	wächst	VERB	[Radius]	6	p0	5	False
daher	daher	ADV	PROAV	mo	Radius	NOUN	[]	6	p0	5	False
auch	auch	ADV	ADV	mo	Radius	NOUN	[]	6	p0	5	False
der	der	DET	ART	nk	Radius	NOUN	[]	6	p0	5	False
Radius	Radius	NOUN	NN	cj	und	CCONJ	[daher, auch, der, Halbkreises]	6	p0	5	False
des	der	DET	ART	nk	Halbkreises	NOUN	[]	6	p0	5	False
nächsten	nächster	ADJ	ADJA	nk	Halbkreises	NOUN	[]	6	p0	5	False
Halbkreises	Halbkreis	NOUN	NN	ag	Radius	NOUN	[des, nächsten]	6	p0	5	False
.	--	PUNCT	$.	punct	nimmt	VERB	[]	6	p0	5	False
Die	der	DET	ART	nk	Ionen	NOUN	[]	6	p0	6	False
Ionen	Ione	NOUN	NN	sb	durchlaufen	VERB	[Die]	6	p0	6	False
durchlaufen	durchlaufen	VERB	VVFIN	ROOT	durchlaufen	VERB	[Ionen, deshalb, Bahn, .]	6	p0	6	False
deshalb	deshalb	ADV	PROAV	mo	durchlaufen	VERB	[]	6	p0	6	False
eine	ein	DET	ART	nk	Bahn	NOUN	[]	6	p0	6	False
spiralartige	spiralartig	ADJ	ADJA	nk	Bahn	NOUN	[]	6	p0	6	False
Bahn	Bahn	NOUN	NN	oa	durchlaufen	VERB	[eine, spiralartige, ,, besteht]	6	p0	6	False
,	--	PUNCT	$,	punct	Bahn	NOUN	[]	6	p0	6	False
die	der	PRON	PRELS	sb	besteht	VERB	[]	6	p0	6	False
aus	aus	ADP	APPR	mo	besteht	VERB	[Halbkreisen]	6	p0	6	False
lauter	lauter	DET	PIAT	nk	Halbkreisen	NOUN	[]	6	p0	6	False
Halbkreisen	Halbkreis	NOUN	NN	nk	aus	ADP	[lauter, mit]	6	p0	6	True
mit	mit	ADP	APPR	mnr	Halbkreisen	NOUN	[Radien]	6	p0	6	True
wachsenden	wachsend	ADJ	ADJA	nk	Radien	NOUN	[]	6	p0	6	True
Radien	Radi	NOUN	NN	nk	mit	ADP	[wachsenden]	6	p0	6	True
besteht	bestehen	VERB	VVFIN	rc	Bahn	NOUN	[die, aus, ,, haben]	6	p0	6	True
,	--	PUNCT	$,	punct	besteht	VERB	[]	6	p0	6	False
bis	bis	SCONJ	KOUS	cp	haben	AUX	[]	6	p0	6	False
sie	sie	PRON	PPER	sb	haben	AUX	[]	6	p0	6	False
den	der	DET	ART	nk	Rand	NOUN	[]	6	p0	6	False
Rand	Rand	NOUN	NN	oa	erreicht	VERB	[den, Magnetfeldes]	6	p0	6	False
des	der	DET	ART	nk	Magnetfeldes	NOUN	[]	6	p0	6	False
Magnetfeldes	Magnetfeld	NOUN	NN	ag	Rand	NOUN	[des]	6	p0	6	False
erreicht	erreichen	VERB	VVPP	oc	haben	AUX	[Rand]	6	p0	6	False
haben	haben	AUX	VAFIN	mo	besteht	VERB	[bis, sie, erreicht, und]	6	p0	6	False
und	und	CCONJ	KON	cd	haben	AUX	[können]	6	p0	6	False
dort	dort	ADV	ADV	mo	extrahiert	VERB	[]	6	p0	6	False
durch	durch	ADP	APPR	mo	extrahiert	VERB	[Ablenkfeld]	6	p0	6	False
ein	ein	DET	ART	nk	Ablenkfeld	NOUN	[]	6	p0	6	False
elektrisches	elektrisch	ADJ	ADJA	nk	Ablenkfeld	NOUN	[]	6	p0	6	False
Ablenkfeld	Ablenkfeld	NOUN	NN	nk	durch	ADP	[ein, elektrisches]	6	p0	6	False
extrahiert	extrahiern	VERB	VVPP	oc	werden	AUX	[dort, durch]	6	p0	6	False
werden	werden	AUX	VAINF	oc	können	AUX	[extrahiert]	6	p0	6	False
können	können	AUX	VMFIN	cj	und	CCONJ	[werden]	6	p0	6	False
.	--	PUNCT	$.	punct	durchlaufen	VERB	[]	6	p0	6	False
Um	um	SCONJ	KOUI	cp	können	AUX	[]	0	b0	1	False
das	der	DET	ART	nk	Vorhandensein	NOUN	[]	0	b0	1	False
Vorhandensein	Vorhandensein	NOUN	NN	oa	feststellen	VERB	[das, Polymerasekettenreaktion-Produkte]	0	b0	1	False
der	der	DET	ART	nk	Polymerasekettenreaktion-Produkte	NOUN	[]	0	b0	1	False
Polymerasekettenreaktion-Produkte	Polymerasekettenreaktion-Produkt	NOUN	NN	ag	Vorhandensein	NOUN	[der]	0	b0	1	False
feststellen	feststellen	VERB	VVINF	oc	können	AUX	[Vorhandensein]	0	b0	1	False
zu	zu	PART	PTKZU	pm	können	AUX	[]	0	b0	1	False
können	können	AUX	VMINF	mo	verwendet	VERB	[Um, feststellen, zu]	0	b0	1	False
,	--	PUNCT	$,	punct	verwendet	VERB	[]	0	b0	1	False
verwendet	verwenden	VERB	VVFIN	ROOT	verwendet	VERB	[können, ,, man, Gelelektrophorese, mit, .]	0	b0	1	False
man	man	PRON	PIS	sb	verwendet	VERB	[]	0	b0	1	False
die	der	DET	ART	nk	Gelelektrophorese	NOUN	[]	0	b0	1	False
Gelelektrophorese	Gelelektrophorese	NOUN	NN	oa	verwendet	VERB	[die]	0	b0	1	False
mit	mit	ADP	APPR	mo	verwendet	VERB	[Behandlung]	0	b0	1	False
einer	ein	DET	ART	nk	Behandlung	NOUN	[]	0	b0	1	False
anschließenden	anschließend	ADJ	ADJA	nk	Behandlung	NOUN	[]	0	b0	1	False
Behandlung	Behandlung	NOUN	NN	nk	mit	ADP	[einer, anschließenden, Gels]	0	b0	1	False
des	der	DET	ART	nk	Gels	NOUN	[]	0	b0	1	False
Gels	Gel	NOUN	NN	ag	Behandlung	NOUN	[des, durch]	0	b0	1	False
durch	durch	ADP	APPR	mnr	Gels	NOUN	[Ethidiumbromid]	0	b0	1	False
Ethidiumbromid	Ethidiumbromid	PROPN	NN	nk	durch	ADP	[]	0	b0	1	False
.	--	PUNCT	$.	punct	verwendet	VERB	[]	0	b0	1	False
Bei	bei	ADP	APPR	mo	genutzt	VERB	[Methode]	0	b0	2	False
dieser	dieser	DET	PDAT	nk	Methode	NOUN	[]	0	b0	2	False
Methode	Methode	NOUN	NN	nk	Bei	ADP	[dieser]	0	b0	2	False
wird	werden	AUX	VAFIN	ROOT	wird	AUX	[Ladung, genutzt, .]	0	b0	2	False
die	der	DET	ART	nk	Ladung	NOUN	[]	0	b0	2	False
negative	negativ	ADJ	ADJA	nk	Ladung	NOUN	[]	0	b0	2	False
Ladung	Ladung	NOUN	NN	sb	wird	AUX	[die, negative, DNA-Fragmente]	0	b0	2	False
der	der	DET	ART	nk	DNA-Fragmente	NOUN	[]	0	b0	2	False
DNA-Fragmente	DNA-Fragmente	NOUN	NN	ag	Ladung	NOUN	[der]	0	b0	2	False
genutzt	nutzen	VERB	VVPP	oc	wird	AUX	[Bei]	0	b0	2	False
.	--	PUNCT	$.	punct	wird	AUX	[]	0	b0	2	False
Die	der	DET	ART	nk	DNA-Fragmente	NOUN	[]	0	b0	3	False
DNA-Fragmente	DNA-Fragmente	NOUN	NN	sb	sind	AUX	[Die]	0	b0	3	False
sind	sein	AUX	VAFIN	ROOT	sind	AUX	[DNA-Fragmente, geladen, .]	0	b0	3	False
auf	auf	ADP	APPR	mo	geladen	VERB	[Grund]	0	b0	3	False
Grund	Grund	NOUN	NN	nk	auf	ADP	[Phosphatreste]	0	b0	3	False
der	der	DET	ART	nk	Phosphatreste	NOUN	[]	0	b0	3	False
darin	darin	ADV	PROAV	mo	enthaltenen	ADJ	[]	0	b0	3	False
enthaltenen	enthalten	ADJ	ADJA	nk	Phosphatreste	NOUN	[darin]	0	b0	3	False
Phosphatreste	Phosphatreste	NOUN	NN	ag	Grund	NOUN	[der, enthaltenen]	0	b0	3	False
negativ	negativ	ADV	ADJD	mo	geladen	VERB	[]	0	b0	3	False
geladen	laden	VERB	VVPP	oc	sind	AUX	[auf, negativ]	0	b0	3	False
.	--	PUNCT	$.	punct	sind	AUX	[]	0	b0	3	False
Anlegen	anlegen	NOUN	NN	sb	lässt	VERB	[Feldes]	0	b0	4	False
eines	ein	DET	ART	nk	Feldes	NOUN	[]	0	b0	4	False
elektrischen	elektrisch	ADJ	ADJA	nk	Feldes	NOUN	[]	0	b0	4	False
Feldes	Feld	NOUN	NN	ag	Anlegen	NOUN	[eines, elektrischen]	0	b0	4	False
lässt	lässen	VERB	VVFIN	ROOT	lässt	VERB	[Anlegen, Polymerasekettenreaktion-Produkte, durch, wandern, .]	0	b0	4	False
die	der	DET	ART	nk	Polymerasekettenreaktion-Produkte	NOUN	[]	0	b0	4	False
Polymerasekettenreaktion-Produkte	Polymerasekettenreaktion-Produkt	NOUN	NN	oa	lässt	VERB	[die]	0	b0	4	False
durch	durch	ADP	APPR	mo	lässt	VERB	[Medium]	0	b0	4	False
ein	ein	DET	ART	nk	Medium	NOUN	[]	0	b0	4	False
gelartiges	gelartig	ADJ	ADJA	nk	Medium	NOUN	[]	0	b0	4	False
Medium	Medium	NOUN	NN	nk	durch	ADP	[ein, gelartiges, ,, Agarose]	0	b0	4	False
,	--	PUNCT	$,	punct	Medium	NOUN	[]	0	b0	4	False
zumeist	zumeist	ADV	ADV	mo	Agarose	NOUN	[]	0	b0	4	False
Agarose	agarose	NOUN	NN	par	Medium	NOUN	[zumeist]	0	b0	4	False
,	--	PUNCT	$,	punct	wandern	VERB	[]	0	b0	4	False
wandern	wandern	VERB	VVINF	oc	lässt	VERB	[,]	0	b0	4	False
.	--	PUNCT	$.	punct	lässt	VERB	[]	0	b0	4	False
Die	der	DET	ART	nk	DNA-Fragmente	NOUN	[]	0	b0	5	False
DNA-Fragmente	DNA-Fragmente	NOUN	NN	sb	wandern	VERB	[Die]	0	b0	5	False
wandern	wandern	VERB	VVFIN	ROOT	wandern	VERB	[DNA-Fragmente, durch, vom, zum, .]	0	b0	5	True
durch	durch	ADP	APPR	mo	wandern	VERB	[Agarose-Sieb]	0	b0	5	False
das	der	DET	ART	nk	Agarose-Sieb	NOUN	[]	0	b0	5	False
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	5	False
Agarose-Sieb	Agarose-Sieb	NOUN	NN	nk	durch	ADP	"[das, "", ""]"	0	b0	5	False
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	5	False
vom	von	ADP	APPRART	mo	wandern	VERB	[Minuspol]	0	b0	5	True
Minuspol	Minuspol	NOUN	NN	nk	vom	ADP	[zum]	0	b0	5	False
zum	zu	ADP	APPRART	mo	wandern	VERB	[Pluspol]	0	b0	5	True
Pluspol	Pluspol	NOUN	NN	nk	zum	ADP	[]	0	b0	5	False
.	--	PUNCT	$.	punct	wandern	VERB	[]	0	b0	5	False
Kleinere	Kleinere	ADJ	ADJA	nk	Fragmente	NOUN	[]	0	b0	6	False
Fragmente	Fragment	NOUN	NN	sb	wandern	VERB	[Kleinere]	0	b0	6	False
wandern	wandern	VERB	VVFIN	ROOT	wandern	VERB	[Fragmente, schneller, durch, ,, befinden, .]	0	b0	6	False
schneller	schnell	ADV	ADJD	mo	wandern	VERB	[]	0	b0	6	False
durch	durch	ADP	APPR	mo	wandern	VERB	[Agarose-Sieb]	0	b0	6	False
das	der	DET	ART	nk	Agarose-Sieb	NOUN	[]	0	b0	6	False
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	6	False
Agarose-Sieb	Agarose-Sieb	NOUN	NN	nk	durch	ADP	"[das, "", ""]"	0	b0	6	False
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	6	False
,	--	PUNCT	$,	punct	wandern	VERB	[]	0	b0	6	False
daher	daher	ADV	PROAV	mo	befinden	VERB	[]	0	b0	6	False
befinden	befinden	VERB	VVFIN	cj	wandern	VERB	[daher, sie, sich, in]	0	b0	6	False
sie	sie	PRON	PPER	sb	befinden	VERB	[]	0	b0	6	False
sich	sich	PRON	PRF	oa	befinden	VERB	[]	0	b0	6	False
in	in	ADP	APPR	mo	befinden	VERB	[Nähe]	0	b0	6	False
der	der	DET	ART	nk	Nähe	NOUN	[]	0	b0	6	False
Nähe	Nähe	NOUN	NN	nk	in	ADP	[der, zum]	0	b0	6	False
zum	zu	ADP	APPRART	mnr	Nähe	NOUN	[Pluspol]	0	b0	6	False
Pluspol	Pluspol	NOUN	NN	nk	zum	ADP	[Gels]	0	b0	6	False
des	der	DET	ART	nk	Gels	NOUN	[]	0	b0	6	False
Gels	Gel	NOUN	NN	ag	Pluspol	NOUN	[des]	0	b0	6	False
.	--	PUNCT	$.	punct	wandern	VERB	[]	0	b0	6	False
Die	der	DET	ART	nk	Fragmente	NOUN	[]	0	b0	7	False
größeren	groß	ADJ	ADJA	nk	Fragmente	NOUN	[]	0	b0	7	False
Fragmente	Fragment	NOUN	NN	sb	wandern	VERB	[Die, größeren]	0	b0	7	False
wandern	wandern	VERB	VVFIN	ROOT	wandern	VERB	[Fragmente, langsamer, und, .]	0	b0	7	False
langsamer	langsam	ADV	ADJD	mo	wandern	VERB	[]	0	b0	7	False
und	und	CCONJ	KON	cd	wandern	VERB	[bleiben]	0	b0	7	False
bleiben	bleiben	VERB	VVFIN	cj	und	CCONJ	[in]	0	b0	7	False
in	in	ADP	APPR	mo	bleiben	VERB	[Nähe]	0	b0	7	False
der	der	DET	ART	nk	Nähe	NOUN	[]	0	b0	7	False
Nähe	Nähe	NOUN	NN	nk	in	ADP	[der, zum]	0	b0	7	False
zum	zu	ADP	APPRART	mnr	Nähe	NOUN	[Minuspol]	0	b0	7	False
Minuspol	Minuspol	NOUN	NN	nk	zum	ADP	[]	0	b0	7	False
.	--	PUNCT	$.	punct	wandern	VERB	[]	0	b0	7	False
Um	um	SCONJ	KOUI	cp	machen	VERB	[]	0	b0	8	False
DNA-Fragmente	DNA-Fragmente	NOUN	NN	oa	machen	VERB	[]	0	b0	8	False
sichtbar	sichtbar	ADV	ADJD	mo	machen	VERB	[]	0	b0	8	False
zu	zu	PART	PTKZU	pm	machen	VERB	[]	0	b0	8	False
machen	machen	VERB	VVINF	mo	behandelt	VERB	[Um, DNA-Fragmente, sichtbar, zu]	0	b0	8	False
